time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-13T13:55:17.800Z,23.0944,94.8654,136,6.9,mww,,14,3.001,1.03,us,us20005hqz,2022-05-03T18:51:09.920Z,"76 km SE of Mawlaik, Myanmar",earthquake,7.1,1.8,,,reviewed,us,us
2016-04-13T18:21:52.730Z,7.7917,122.0231,17,6,mww,,19,3.598,0.93,us,us20005hux,2022-05-03T18:51:03.806Z,"15 km NW of Siocon, Philippines",earthquake,3.3,1.6,,,reviewed,us,us
2016-04-14T12:26:35.730Z,32.788,130.7042,9,6.2,mww,,18,0.366,1.14,us,us20005hzn,2022-05-03T19:34:19.447Z,"2 km SSE of Kumamoto, Japan",earthquake,4.6,1.7,,,reviewed,us,us
2016-04-14T15:03:47.240Z,32.6973,130.7204,8,6,mww,,32,0.446,0.86,us,us20005i1a,2022-05-03T19:34:24.135Z,"5 km ENE of Uto, Japan",earthquake,3.9,1.7,,,reviewed,us,us
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,mww,,32,0.349,0.85,us,us20005iis,2022-12-23T11:51:30.843Z,"6 km ESE of Kumamoto, Japan",earthquake,4.9,1.7,,,reviewed,us,us
2016-04-15T16:45:56.680Z,32.9241,130.8091,10,5.7,mww,,61,0.208,1.23,us,us20005ija,2022-05-03T18:12:16.372Z,"6 km S of Kikuchi, Japan",earthquake,5.4,0.9,,,reviewed,us,us
2016-04-15T18:55:53.500Z,33.0051,131.1569,13.22,5.5,mwr,,19,0.263,0.87,us,us20005inz,2022-08-02T18:32:15.534Z,"10 km NE of Aso, Japan",earthquake,4.7,3.2,0.098,10,reviewed,us,us
2016-04-18T11:42:00.220Z,33.0143,131.0991,10.46,5.5,mww,,52,0.217,0.91,us,us20005jgz,2022-05-03T17:44:38.672Z,"8 km NNE of Aso, Japan",earthquake,5.9,3.2,,,reviewed,us,us
2016-04-20T12:19:43.950Z,37.8013,141.6216,33.11,5.9,mww,,41,0.662,0.8,us,us20005k66,2022-05-03T17:44:51.595Z,"65 km ENE of Namie, Japan",earthquake,5.3,3.5,,,reviewed,us,us
2016-04-27T15:17:14.440Z,24.2309,121.8009,13,5.5,mww,,29,0.196,0.83,us,us10005bxy,2022-05-03T17:45:57.237Z,"34 km NE of Hualien City, Taiwan",earthquake,5.1,1.6,,,reviewed,us,us
2016-05-03T00:00:51.680Z,43.6954,147.5063,61,5.7,mww,,20,3.575,0.71,us,us10005d6s,2022-05-03T18:52:06.290Z,"64 km E of Shikotan, Russia",earthquake,6.8,1.8,,,reviewed,us,us
2016-05-12T03:17:15.070Z,24.6953,121.9839,8,5.8,mww,,25,0.521,1,us,us10005gpt,2022-05-03T17:48:41.241Z,"24 km ESE of Yilan, Taiwan",earthquake,4.6,1.7,,,reviewed,us,us
2016-05-12T04:29:55.800Z,24.6833,122.0531,9,5.7,mww,,26,0.582,0.91,us,us10005gq4,2022-05-03T18:52:10.798Z,"31 km ESE of Yilan, Taiwan",earthquake,5.3,1.2,,,reviewed,us,us
2016-05-21T06:06:42.150Z,30.9561,140.0808,124.52,5.5,mww,,62,2.164,1.17,us,us10005j3l,2022-05-03T17:48:58.091Z,"Izu Islands, Japan region",earthquake,7.4,5.1,,,reviewed,us,us
